month_date,latitude,longitude,magnitude,depth,sig,mmi,cdi
2015-05-01,-11.0559,163.696,6.9,11.19,732,4,1
2015-05-01,-10.8759,164.169,6.8,11.0,711,4,1
2015-05-01,38.9056,142.032,6.8,35.0,831,6,8
2015-05-01,27.8087,86.0655,7.3,15.0,1563,7,8
2015-05-01,-7.2175,154.557,7.1,10.0,776,6,1
2015-05-01,-5.4624,151.875,7.5,55.0,869,8,7
2015-05-01,-5.2005,151.777,6.8,44.0,714,6,5
2015-04-01,-5.375,151.771,6.7,31.0,692,6,5
2015-04-01,27.7711,86.0173,6.7,22.91,1016,7,7
2015-04-01,28.2244,84.8216,6.6,10.0,733,7,8
2015-04-01,28.2305,84.7314,7.8,8.22,2820,9,8
2015-04-01,-15.8815,-178.6,6.5,10.0,650,5,0
2015-03-01,-15.4994,-173.029,6.5,11.0,650,5,2
2015-03-01,-4.7294,152.562,7.5,41.0,872,7,6
2015-02-01,-7.2968,122.535,7.0,552.06,760,6,4
2015-02-01,39.8558,142.881,6.7,23.0,714,5,5
2015-02-01,-23.1125,-66.688,6.7,223.0,700,6,4
2015-01-01,-17.0309,168.52,6.8,219.96,711,4,1
2015-01-01,5.9045,-82.6576,6.5,8.0,650,4,1
2014-12-01,7.9401,-82.6865,6.6,20.0,709,6,7
2014-12-01,-6.5108,154.46,6.6,23.0,670,5,1
2014-12-01,6.1572,123.126,6.6,614.0,670,3,1
2014-11-01,1.9604,126.575,6.8,39.0,713,5,6
2014-11-01,2.2999,127.056,6.5,35.0,652,5,5
2014-11-01,-37.6478,179.662,6.7,22.0,698,4,7
2014-11-01,1.8929,126.522,7.1,45.0,779,6,4
2014-11-01,-5.9873,148.232,6.6,53.19,671,6,2
2014-11-01,-19.6903,-177.759,7.1,434.0,776,6,3
2014-10-01,12.5262,-88.1225,7.3,40.0,982,6,8
2014-09-01,13.7641,144.429,6.7,130.0,724,5,5
2014-08-01,-14.598,-73.5714,6.8,101.0,741,6,6
2014-08-01,0.8295,146.169,6.9,13.0,732,4,0
2014-07-01,-19.8015,-178.4,6.9,615.42,732,6,0
2014-07-01,37.0052,142.452,6.5,20.0,706,4,5
2014-07-01,14.724,-92.4614,6.9,53.0,1079,7,8
2014-07-01,-6.2304,152.807,6.5,20.0,650,4,0
2014-06-01,-14.9831,-175.51,6.7,18.0,691,5,0
2014-06-01,-55.4703,-28.3669,6.9,8.0,732,5,0
2014-06-01,51.8486,178.735,7.9,109.0,963,8,6
2014-06-01,-29.9414,-177.607,6.7,26.59,691,5,0
2014-06-01,-29.9379,-177.516,6.5,10.0,650,5,0
2014-06-01,-29.9772,-177.725,6.9,20.0,732,5,0
2014-05-01,40.2893,25.3889,6.9,6.43,951,7,9
2014-05-01,7.2096,-82.3045,6.5,10.0,694,5,7
2014-05-01,-21.4542,170.355,6.6,106.0,670,5,0
2014-04-01,49.6388,-127.732,6.5,10.0,838,6,4
2014-04-01,-6.7547,155.024,7.5,43.37,865,6,0
2014-04-01,-6.6558,155.087,6.6,29.0,670,6,0
2014-04-01,17.397,-100.972,7.2,24.0,1017,7,8
2014-04-01,-11.1284,162.052,6.6,10.0,670,6,0
2014-04-01,-11.4633,162.051,7.4,39.0,842,6,0
2014-04-01,-11.2701,162.148,7.6,22.56,889,7,0
2014-04-01,11.642,-85.8779,6.6,135.0,677,5,6
2014-04-01,-6.7878,154.95,6.5,20.0,650,6,0
2014-04-01,-6.5858,155.048,7.1,60.53,776,7,0
2014-04-01,-20.5709,-70.4931,7.7,22.4,1057,9,8
2014-04-01,-20.3113,-70.5756,6.5,24.07,670,7,7
2014-04-01,-19.8927,-70.9455,6.9,28.42,732,5,0
2014-04-01,-19.6097,-70.7691,8.2,25.0,1332,8,9
2014-03-01,-19.9807,-70.7022,6.7,20.0,718,7,7
2014-03-01,40.8287,-125.134,6.8,16.441,1211,5,5
2014-03-01,27.4312,127.367,6.5,119.0,668,5,4
2014-02-01,14.6682,-58.9272,6.5,14.83,681,4,5
2014-02-01,35.9053,82.5864,6.9,10.0,733,8,3
2014-02-01,-15.0691,167.372,6.5,122.0,650,5,0
2014-02-01,-32.9076,-177.881,6.5,44.26,650,3,0
2014-01-01,-13.8633,167.249,6.5,187.0,650,4,0
2013-11-01,-17.1171,-176.545,6.5,371.0,651,4,3
2013-11-01,-60.2738,-46.4011,7.7,10.0,912,8,1
2013-11-01,-60.2627,-47.0621,6.9,9.97,732,5,0
2013-10-01,-30.2921,-71.5215,6.6,27.0,723,7,6
2013-10-01,37.1557,144.661,7.1,35.0,872,4,6
2013-10-01,26.0913,-110.321,6.6,9.45,692,5,8
2013-10-01,-6.4456,154.931,6.8,35.0,711,6,0
2013-10-01,9.8796,124.117,7.1,19.04,1092,8,9
2013-10-01,35.5142,23.2523,6.6,40.0,691,6,5
2013-10-01,53.1995,152.786,6.7,573.0,691,3,0
2013-09-01,-30.9255,-178.323,6.5,41.54,650,4,0
2013-09-01,27.1825,65.5052,6.8,12.0,1005,7,7
2013-09-01,-15.8385,-74.5112,7.1,40.0,843,7,8
2013-09-01,26.951,65.5009,7.7,15.0,2015,8,5
2013-09-01,51.5573,-174.767,6.5,20.0,650,6,0
2013-09-01,29.9377,138.833,6.5,402.0,739,3,5
2013-09-01,-7.44,128.221,6.5,112.0,668,5,4
2013-08-01,51.537,-175.23,7.0,29.0,758,6,5
2013-08-01,-41.734,174.152,6.5,8.2,690,7,9
2013-08-01,5.7732,-78.1999,6.7,12.0,715,5,4
2013-07-01,-41.704,174.337,6.5,17.0,693,7,6
2013-07-01,-60.857,-25.07,7.3,11.0,820,6,0
2013-07-01,-6.029,149.706,6.6,56.0,674,6,4
2013-07-01,-3.917,153.927,7.3,385.5,820,4,0
2013-06-01,10.701,-42.594,6.6,10.0,670,7,0
2013-06-01,11.763,-86.926,6.5,30.0,679,6,5
2013-06-01,-10.004,107.236,6.7,9.0,710,4,5
2013-05-01,52.235,151.444,6.7,624.0,691,3,0
2013-05-01,54.892,153.221,8.3,598.1,1115,5,5
2013-05-01,-23.009,-177.232,7.4,173.7,842,6,0
2013-05-01,18.728,145.288,6.8,602.2,711,3,0
2013-04-01,-3.898,152.127,6.5,10.0,650,6,0
2013-04-01,30.308,102.888,6.6,14.0,2083,8,8
2013-04-01,46.221,150.788,7.2,110.0,804,7,5
2013-04-01,-3.214,142.542,6.6,13.0,672,7,7
2013-04-01,28.033,61.996,7.7,80.0,1421,8,8
2013-04-01,-6.475,154.607,6.6,31.0,670,5,0
2013-04-01,-3.517,138.476,7.0,66.0,755,7,3
2013-03-01,-6.598,148.174,6.5,28.0,650,6,0
2013-03-01,50.958,157.408,6.5,29.0,651,6,3
2013-02-01,50.954,157.283,6.9,41.0,736,6,5
2013-02-01,67.631,142.508,6.6,11.0,670,7,0
2013-02-01,-10.994,165.741,6.6,18.0,670,6,0
2013-02-01,1.135,-77.393,6.9,145.0,904,5,5
2013-02-01,-10.928,166.018,7.1,21.0,780,6,9
2013-02-01,-10.838,165.969,6.8,12.0,711,7,0
2013-02-01,-10.997,165.655,6.7,11.0,691,6,0
2013-02-01,-10.499,165.588,7.0,8.8,754,6,0
2013-02-01,-11.183,164.882,7.1,10.0,776,5,0
2013-02-01,-10.799,165.114,8.0,24.0,993,7,8
2013-02-01,42.77,143.092,6.9,107.0,814,7,6
2013-01-01,-28.094,-70.653,6.8,45.0,771,7,6
2013-01-01,55.228,-134.859,7.5,8.7,1425,6,6
2012-12-01,-14.344,167.286,6.7,200.7,691,4,0
2012-12-01,-6.533,129.825,7.1,155.0,843,5,5
2012-12-01,37.89,143.949,7.3,31.0,1014,5,6
2012-11-01,14.129,-92.164,6.5,20.0,708,5,4
2012-11-01,23.005,95.885,6.8,13.7,795,6,7
2012-11-01,13.988,-91.895,7.4,24.0,1455,7,8
2012-10-01,52.788,-132.101,7.8,14.0,1726,7,8
2012-10-01,10.086,-85.298,6.5,17.0,745,6,6
2012-10-01,-4.892,134.03,6.6,13.0,675,5,3
2012-09-01,1.929,-76.362,7.3,170.0,1221,6,7
2012-09-01,10.085,-85.315,7.6,35.0,1555,7,8
2012-08-01,10.811,126.638,7.6,28.0,1115,5,8
2012-08-01,12.139,-88.59,7.3,28.0,994,5,5
2012-08-01,2.19,126.837,6.6,91.1,678,5,4
2012-08-01,49.8,145.064,7.7,583.2,941,4,7
2012-07-01,-4.651,153.173,6.5,41.0,653,6,5
2012-04-01,-18.685,-174.705,6.6,134.7,675,5,4
2012-04-01,-1.617,134.276,6.7,16.0,691,7,0
2012-04-01,-5.462,147.117,6.8,198.0,732,5,6
2012-04-01,-32.625,-71.365,6.7,29.0,691,7,0
2012-04-01,28.696,-113.104,7.0,13.0,1000,7,7
2012-04-01,18.229,-102.689,6.5,20.0,1171,6,7
2012-04-01,0.802,92.463,8.2,25.1,1213,6,9
2012-04-01,2.327,93.063,8.6,20.0,2048,7,9
2012-03-01,-35.2,-72.217,7.1,40.7,1496,7,7
