cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m
-19.5_-70.5,2009-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-19.5_168.5,2003-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-19.5_176.0,2017-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_100.0,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_122.5,2019-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_133.5,2002-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_134.0,2002-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_134.0,2012-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0.0,0.0
-2.0_99.5,2005-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_99.5,2005-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.0_99.5,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0
-2.5_-77.5,2019-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_-78.0,2007-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_100.5,2016-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_101.5,2009-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_136.0,2010-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_136.5,2010-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_99.5,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-2.5_99.5,2008-02-01,0,0,1,0.0,7.0,7.0,22.0,22.0,0.0,0.0,0.0,5,-0.5,7.0
-2.5_99.5,2008-02-01,0,0,1,0.0,7.0,7.0,22.0,22.0,0.0,0.0,0.0,5,-0.5,7.0
-2.5_99.5,2008-02-01,0,0,1,0.0,7.0,7.0,22.0,22.0,0.0,0.0,0.0,5,-0.5,7.0
-2.5_99.5,2008-02-01,0,0,1,0.0,7.0,7.0,22.0,22.0,0.0,0.0,0.0,5,-0.5,7.0
-20.0_-174.0,2006-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.0_-178.0,2014-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.0_-178.5,2014-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.0_-178.5,2016-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0
-20.0_-69.5,2005-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.0_-71.0,2014-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.0_-71.0,2014-04-01,1,1,1,6.7,6.7,6.7,20.0,20.0,718.0,7.0,7.0,1,0.5,6.7
-20.0_-71.0,2014-04-01,1,1,1,6.7,6.7,6.7,20.0,20.0,718.0,7.0,7.0,1,0.5,6.7
